Disease,Week 51,Week  50,Week 49,Week 48,2021,2020,2019
Acute Encephalitis/Meningitis Bacterial,0,0,0,1,6,9,52
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,2
Anthrax,0,0,0,0,0,0,0
Chickenpox,7,0,0,5,79,194,700
Cholera,0,0,0,0,0,0,1
Diphtheria,0,0,0,0,2,0,0
Dysentery,0,0,0,0,10,14,46
Food Poisoning,36,27,41,42,2579,1889,2080
Gastroenteritis (< 2years),0,0,0,0,8,11,27
Hepatitis A,0,0,0,0,8,4,7
Hepatitis B,4,1,0,1,96,72,114
Hepatitis C ,2,1,4,2,183,117,128
Hepatitis Unspecified,0,0,0,0,32,46,4
Legionnaires' Disease,0,0,0,0,2,0,7
Leptospirosis,0,0,0,0,2,1,1
Malaria,0,0,0,0,1,3,2
Measles,0,1,1,2,6,10,13
Meningococcal Septicaemia,0,0,0,1,2,0,12
Mumps,0,0,1,0,29,436,655
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,1,1
Scarlet Fever,2,1,2,3,47,157,250
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,1,1
Tuberculosis (Pulmonary),5,0,2,0,32,25,46
Tuberculosis (Non Pulmonary),1,0,1,1,18,26,24
Typhoid,0,0,0,0,0,0,3
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,2,47,205
Yellow Fever,0,0,0,0,0,0,0
Total,57,31,52,58,3145,3063,4381
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
