Disease,Week 12,Week 11,Week 10,Week 9,2022,2021,2020
,,,,,,,
,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,3,1,8
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,1,6,0,2,30,11,85
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,2,0,0,1,10,40,9
Food Poisoning,39,33,30,30,412,423,348
Gastroenteritis (< 2years),0,0,0,0,0,1,7
Hepatitis A,0,0,0,0,0,5,1
Hepatitis B,0,0,3,1,23,17,24
Hepatitis C ,3,2,3,4,32,54,29
Hepatitis Unspecified,0,0,0,0,0,11,5
Legionnaires' Disease,0,0,0,0,1,2,0
Leptospirosis,0,0,0,0,0,0,1
Malaria,0,0,0,0,1,0,3
Measles,2,0,0,0,2,0,5
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,1,0,2,0,2,4,340
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,2,0
Scarlet Fever,1,0,12,0,7,2,109
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),0,1,1,4,13,6,4
Tuberculosis (Non Pulmonary),0,1,0,0,9,0,11
Typhoid,0,0,0,0,0,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,1,0,31
Yellow Fever,0,0,0,0,0,0,0
Total,49,43,51,42,546,583,1021
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,, ,,,
