Disease,Week 4,Week 3,Week 2,Week 1,2022,2021,2020
,,,,,,,
,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,1,1,0,1
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,4,4,0,0,8,2,18
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,0,2,1,0,3,39,4
Food Poisoning,56,36,37,24,153,88,102
Gastroenteritis (< 2years),0,0,0,0,0,0,5
Hepatitis A,0,0,0,0,0,1,1
Hepatitis B,3,0,2,0,5,2,7
Hepatitis C ,3,0,3,1,8,23,10
Hepatitis Unspecified,0,0,0,0,0,0,1
Legionnaires' Disease,0,0,0,0,0,0,0
Leptospirosis,0,0,0,0,0,0,0
Malaria,0,0,0,0,0,0,0
Measles,0,0,0,0,0,0,2
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,0,0,0,0,0,0,128
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,0
Scarlet Fever,2,0,0,0,2,2,36
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,1
Tuberculosis (Pulmonary),0,0,1,0,1,2,2
Tuberculosis (Non Pulmonary),0,1,0,1,2,4,4
Typhoid,0,0,0,0,0,0,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,0,0,12
Yellow Fever,0,0,0,0,0,0,0
Total,68,43,44,27,183,164,334
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
