Disease,Week 24,Week 23,Week 22,Week 21,2022,2021,2020
Acute Encephalitis/Meningitis Bacterial,1,1,0,0,8,3,5
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,8,6,7,7,116,28,160
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,3,1,1,0,24,42,9
Food Poisoning,74,57,37,58,1084,1323,756
Gastroenteritis (< 2years),0,1,0,0,1,1,11
Hepatitis A,0,0,0,0,0,5,3
Hepatitis B,2,5,0,0,55,42,34
Hepatitis C ,1,1,4,2,74,98,46
Hepatitis Unspecified,0,0,0,0,0,17,10
Legionnaires' Disease,0,0,0,0,3,3,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,1,2,0,3
Measles,0,0,0,0,5,0,5
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,1,0,2,1,10,9,416
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,2,0
Scarlet Fever,4,4,4,6,55,8,142
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),1,0,1,1,19,15,8
Tuberculosis (Non Pulmonary),0,1,0,1,14,4,19
Typhoid,0,0,0,0,0,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,1,1,5,1,42
Yellow Fever,0,0,0,0,0,0,0
Total,95,77,57,78,1476,1606,1671
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,, ,,,
,,   ,,,,,
