Disease,Week 53,Week 52,Week 51,Week 50,2015,2014,2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,1,1,1,46,62,61,,, ,,,,,
Acute Encephalitis/Meningitis Viral,1,0,0,0,5,16,7,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,8,8,21,14,1439,1675,1574,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,0,0,48,24,6,, ,,,,,,
Food Poisoning,22,15,30,24,1913,1820,1707,, , ,,,,,
Gastroenteritis (< 2years),3,1,3,3,309,447,571,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,0,0,2,0,93,126,113,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,10,7,10,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,0,0,0,0,7,6,5,,, ,,, ,,
Measles,0,0,0,1,16,17,57,, , , , ,,,
Meningococcal Septicaemia,0,2,0,0,19,22,27,,, , , , ,,
Mumps,22,6,19,22,352,126,694,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,10,17,,, ,,,,,
Scarlet Fever,0,2,3,6,363,625,190,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,1,, , ,,,,,
Tuberculosis (Pulmonary),1,0,2,1,44,71,40,, , ,,,,,
Tuberculosis (Non Pulmonary),0,2,1,0,36,36,34,, , ,,,,,
Typhoid,0,0,0,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,2,1,2,1,118,41,76,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,61,38,84,73,4836,5135,5201,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
