Disease,Week 43,Week 42,Week 41,Week 40,2021,2020,2019
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,4,8,46
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,2
Anthrax,0,0,0,0,0,0,0
Chickenpox,2,4,2,2,68,176,652
Cholera,0,0,0,0,0,0,1
Diphtheria,0,0,0,0,1,0,0
Dysentery,0,0,1,0,8,12,33
Food Poisoning,47,53,45,44,2245,1614,1826
Gastroenteritis (< 2years),0,0,0,1,5,11,21
Hepatitis A,0,0,0,0,8,4,2
Hepatitis B,0,0,0,1,74,58,99
Hepatitis C ,2,6,4,2,160,92,104
Hepatitis Unspecified,0,0,0,0,32,42,4
Legionnaires' Disease,0,0,0,0,2,0,4
Leptospirosis,0,0,0,0,1,1,1
Malaria,0,0,0,0,1,3,2
Measles,0,0,1,0,2,8,9
Meningococcal Septicaemia,0,0,0,0,1,0,9
Mumps,0,0,1,1,25,429,509
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,1,1
Scarlet Fever,2,3,1,2,29,147,206
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,1,1
Tuberculosis (Pulmonary),1,1,0,0,21,19,38
Tuberculosis (Non Pulmonary),0,0,0,0,13,24,20
Typhoid,0,0,0,0,0,0,2
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,2,47,182
Yellow Fever,0,0,0,0,0,0,0
Total,54,67,55,53,2703,2697,3774
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
