Disease,Week 16 ,Week 15 ,Week 14,Week 13,2023,2022,2021
Acute Encephalitis/Meningitis Bacterial,1,0,2,0,12,2,2
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,17,10,27,36,203,38,8
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,0
Dysentery,0,0,0,2,6,7,2
Food Poisoning,62,27,48,38,642,313,488
Gastroenteritis (< 2years),0,0,0,0,3,0,1
Hepatitis A,0,0,1,0,4,0,1
Hepatitis B,1,0,1,0,33,8,13
Hepatitis C ,3,2,7,3,74,28,117
Hepatitis Unspecified,0,0,0,0,5,0,4
Legionnaires' Disease,0,0,0,0,1,2,1
Leptospirosis,0,0,0,0,0,0,1
Malaria,0,0,0,0,0,0,0
Measles,0,0,0,0,0,3,0
Meningococcal Septicaemia,0,1,0,0,1,0,3
Mumps,1,3,1,3,19,3,3
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,2
Scarlet Fever,13,19,35,35,1450,18,1
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),2,0,1,0,13,8,5
Tuberculosis (Non Pulmonary),0,0,1,0,6,3,2
Typhoid,0,0,0,0,1,0,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,1,0,0
Yellow Fever,0,0,0,0,0,0,0
Total,100,62,124,117,2476,433,657
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
