Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 20 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 20 ,Week 19 ,Week 18 ,Week 17,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,15/05 - 21/05,08/05 - 14/05,01/05 - 07/05,24/04 - 30/04,1-20,1-20,1-20
Acute Encephalitis/Meningitis Bacterial,1,0,0,5,18,6,2
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,18,15,13,8,257,71,15
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,0
Dysentery,1,1,0,2,11,13,2
Food Poisoning,75,53,50,65,885,609,804
Gastroenteritis (< 2years),0,0,1,0,4,0,1
Hepatitis A,1,0,0,0,5,0,1
Hepatitis B,0,0,2,1,60,46,35
Hepatitis C ,12,0,5,4,96,76,86
Hepatitis Unspecified,1,0,0,0,6,0,5
Legionnaires' Disease,0,0,0,0,1,3,1
Leptospirosis,0,0,0,0,0,0,1
Malaria,0,0,0,0,0,0,0
Measles,0,0,0,0,0,5,0
Meningococcal Septicaemia,0,0,0,0,1,0,0
Mumps,3,2,2,3,29,6,4
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,2
Scarlet Fever,13,10,7,5,1485,32,2
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),2,0,0,1,16,10,8
Tuberculosis (Non Pulmonary),1,0,1,1,9,5,3
Typhoid,0,0,0,0,1,0,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,1,2,0
Yellow Fever,0,0,0,0,0,0,0
Total,128,81,81,95,2887,885,975
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
