,,,,,Cumulative Totals,,
Disease,08/08 - 14/08,01/08 - 07/08,25/07 -31/07,18/07 -24/07,Jan-32,Jan-32,Jan-32
Acute Encephalitis/Meningitis Bacterial,1,0,0,0,9,3,8
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,9,0,13,8,177,49,169
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,1,0
Dysentery,3,3,2,2,35,44,11
Food Poisoning,69,84,64,54,1558,1738,1173
Gastroenteritis (< 2years),0,0,0,0,5,3,11
Hepatitis A,0,0,0,0,0,6,4
Hepatitis B,2,2,0,0,76,57,43
Hepatitis C ,2,2,4,3,109,152,59
Hepatitis Unspecified,0,0,0,0,0,18,18
Legionnaires' Disease,1,0,0,0,4,3,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,0,2,0,3
Measles,0,0,0,0,7,1,5
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,0,1,0,0,15,15,419
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,3,1
Scarlet Fever,3,1,2,4,77,14,143
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),0,1,2,2,25,18,13
Tuberculosis (Non Pulmonary),0,1,0,1,16,7,23
Typhoid,1,0,0,0,2,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,1,0,7,1,43
Yellow Fever,0,0,0,0,0,0,0
Total,91,95,88,74,2126,2138,2148
