Disease,Week 16,Week 15,Week 14,Week 13,2022,2021,2020
Acute Encephalitis/Meningitis Bacterial,0,1,1,0,5,2,8
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,3,5,11,1,57,12,134
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,1,2,0,2,13,42,9
Food Poisoning,30,34,48,39,562,673,406
Gastroenteritis (< 2years),0,0,0,0,0,1,8
Hepatitis A,0,0,0,0,0,5,1
Hepatitis B,1,0,1,0,35,27,27
Hepatitis C ,3,3,3,3,48,69,35
Hepatitis Unspecified,0,0,0,0,0,14,6
Legionnaires' Disease,1,0,0,0,2,2,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,0,1,0,3
Measles,0,0,0,2,3,0,5
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,0,0,1,1,3,5,404
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,2,0
Scarlet Fever,2,5,2,1,23,3,136
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),0,0,0,0,15,9,4
Tuberculosis (Non Pulmonary),0,0,1,0,10,2,11
Typhoid,0,0,0,0,0,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,1,0,35
Yellow Fever,0,0,0,0,0,0,0
Total,41,50,68,49,778,873,1234
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,, ,,,
