Disease,Week 28,Week 27,Week 26,Week 25,2022 Cumulative Total,2021 Cumulative Total,2020 Cumulative Total
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,8,3,8
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,3,7,12,9,147,43,162
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,0,0,0,1,25,44,9
Food Poisoning,39,49,65,50,1287,1535,979
Gastroenteritis (< 2years),1,1,1,1,5,2,11
Hepatitis A,0,0,0,0,0,6,3
Hepatitis B,1,4,0,3,70,51,39
Hepatitis C ,0,4,0,3,89,125,55
Hepatitis Unspecified,0,0,0,0,0,18,14
Legionnaires' Disease,0,0,0,0,3,3,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,0,2,0,3
Measles,1,1,0,0,7,0,5
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,0,1,3,0,14,10,419
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,1,0,1,2,0
Scarlet Fever,2,5,3,2,67,13,142
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),0,0,1,0,20,17,10
Tuberculosis (Non Pulmonary),0,0,0,0,14,6,23
Typhoid,1,0,0,0,1,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,1,6,1,42
Yellow Fever,0,0,0,0,0,0,0
Total,48,72,86,70,1767,1884,1926
