,,,,,Cumulative Totals,,
Disease,Week 36,Week 35,Week 34,Week 33,2022,2021,2020
,05/09 - 11/09,29/08- 04/09,22/08 - 28/08,15/08- 21/08,Jan-36,Jan-36,Jan-36
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,9,4,8
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,2,0,1,2,182,53,172
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,1,0
Dysentery,2,2,2,1,42,46,11
Food Poisoning,93,73,86,71,1881,1906,1359
Gastroenteritis (< 2years),0,0,0,0,5,3,11
Hepatitis A,1,0,0,0,1,7,4
Hepatitis B,0,0,0,2,83,64,47
Hepatitis C ,2,0,3,4,120,164,68
Hepatitis Unspecified,0,0,1,0,1,18,33
Legionnaires' Disease,1,0,0,0,5,3,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,0,2,0,3
Measles,0,0,0,0,7,1,6
Meningococcal Septicaemia,0,0,0,0,0,1,0
Mumps,0,0,1,2,18,17,421
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,3,1
Scarlet Fever,6,1,4,2,90,18,144
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),2,1,1,2,31,20,17
Tuberculosis (Non Pulmonary),0,1,0,0,17,8,23
Typhoid,0,0,0,0,2,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,7,2,47
Yellow Fever,0,0,0,0,0,0,0
Total,109,78,99,86,2505,2344,2377
