,,,,,Cumulative Totals,,
,3/10 - 9/10,26/09 - 2/10,19/09 - 25/09,12/09 - 18/09,Jan-40,Jan-40,Jan-40
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,9,4,5
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,0,3,3,1,183,58,174
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,1,0
Dysentery,1,0,2,2,47,47,11
Food Poisoning,51,122,48,89,2095,2080,1514
Gastroenteritis (< 2years),0,0,0,1,6,5,11
Hepatitis A,0,0,0,0,1,7,4
Hepatitis B,0,0,0,1,89,80,51
Hepatitis C ,2,1,0,1,134,167,0
Hepatitis Unspecified,1,0,0,1,3,18,38
Legionnaires' Disease,1,0,0,0,6,3,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,1,3,1,3
Measles,0,4,0,0,7,1,7
Meningococcal Septicaemia,0,0,0,0,0,4,4
Mumps,1,2,3,4,26,21,429
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,3,1
Scarlet Fever,3,5,4,2,101,23,146
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),0,0,1,1,33,23,17
Tuberculosis (Non Pulmonary),0,0,0,0,17,10,23
Typhoid,0,1,0,0,2,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,2,0,0,0,9,2,47
Yellow Fever,0,0,0,0,0,0,0
Total,62,138,61,104,2773,2563,2487
