,,,,,Cumulative Totals,,
,31/10 - 06/11,24/10 - 30/10,17/10 - 23/10,10/10 - 16/10,Jan-44,Jan-44,Jan-44
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,9,4,5
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,0,0
Anthrax,0,0,0,0,0,1,0
Chickenpox,9,9,9,3,210,67,176
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,1,0
Dysentery,3,5,0,0,52,48,12
Food Poisoning,50,100,79,48,2212,2281,1643
Gastroenteritis (< 2years),0,0,0,0,6,5,11
Hepatitis A,1,0,0,0,3,7,4
Hepatitis B,0,0,2,0,87,81,59
Hepatitis C ,0,0,7,2,142,183,95
Hepatitis Unspecified,0,1,1,3,6,18,42
Legionnaires' Disease,0,0,0,0,5,3,0
Leptospirosis,0,0,0,0,0,1,1
Malaria,0,0,0,0,3,1,3
Measles,0,0,0,0,7,2,8
Meningococcal Septicaemia,0,0,0,0,0,4,4
Mumps,1,2,0,3,32,22,430
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,3,1
Scarlet Fever,8,12,1,7,138,30,149
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,2,1
Tuberculosis (Pulmonary),2,1,0,0,37,26,19
Tuberculosis (Non Pulmonary),1,1,0,0,19,11,24
Typhoid,0,0,0,0,2,1,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,7,2,47
Yellow Fever,0,0,0,0,0,0,0
Total,90,131,99,66,2979,2804,2734
