Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 4 2024, Northern Ireland",,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 4,Week 3,Week 2,Week 1,2024,2023,2022
,,,,,Weeks ,Weeks ,Weeks 
,22/01 - 28/01,15/01 - 21/01,8/01 - 14/01,1/01 - 7/01,1-4,1-4,1-4
Acute Encephalitis/Meningitis Bacterial,1,1,1,1,3,6,1
Acute Encephalitis/Meningitis Viral,1,0,0,0,2,0,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,2,3,5,0,10,25,8
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,0,0,0,1,1,1,3
Food Poisoning,48,37,48,50,183,183,153
Gastroenteritis (< 2years),0,0,0,0,0,0,0
Hepatitis A,1,1,0,0,2,2,0
Hepatitis B,0,0,0,1,3,2,5
Hepatitis C ,7,2,3,1,18,15,7
Hepatitis Unspecified,1,1,0,0,2,1,0
Legionnaires' Disease,0,0,0,0,0,1,0
Leptospirosis,0,0,0,0,0,0,0
Malaria,0,0,0,0,0,0,0
Measles,0,0,0,0,0,0,0
Meningococcal Septicaemia,0,0,0,0,0,0,0
Mumps,1,3,5,1,10,4,0
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,0
Scarlet Fever,17,11,11,36,75,967,2
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,0
Tuberculosis (Pulmonary),1,2,2,1,5,3,1
Tuberculosis (Non Pulmonary),0,0,1,0,0,1,2
Typhoid,0,0,0,0,0,0,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,6,3,0,1,10,0,0
Yellow Fever,0,0,0,0,0,0,0
Total,86,64,76,93,324,1211,182
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
