Disease,Week 14,Week 13,Week 12,Week 11,2021,2020,2019
Acute Encephalitis/Meningitis Bacterial,0,1,1,0,2,8,18
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,2
Anthrax,0,0,0,0,0,0,0
Chickenpox,0,1,5,0,15,101,269
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,0,0,0,0,1,9,13
Food Poisoning,43,43,49,54,587,377,329
Gastroenteritis (< 2years),0,0,1,0,1,8,11
Hepatitis A,0,0,1,0,5,1,4
Hepatitis B,1,4,3,1,28,27,18
Hepatitis C ,1,6,6,3,67,N/a,N/a
Hepatitis Unspecified,0,2,0,1,25,5,3
Legionnaires' Disease,0,0,0,0,1,0,0
Leptospirosis,0,0,0,0,0,1,0
Malaria,0,0,0,0,0,3,0
Measles,0,0,0,0,0,5,0
Meningococcal Septicaemia,0,0,0,0,0,0,2
Mumps,0,1,2,0,8,363,130
Paratyphoid Fever,0,0,0,0,0,1,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,0
Scarlet Fever,0,1,0,0,4,126,87
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,1,0
Tuberculosis (Pulmonary),0,2,0,0,5,5,11
Tuberculosis (Non Pulmonary),0,2,0,0,6,9,8
Typhoid,0,0,0,1,0,0,0
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,0,34,25
Yellow Fever,0,0,0,0,0,0,0
Total,45,63,68,60,755,1084,930
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
