Disease,Week 22,Week 21,Week 20,Week 19,2021,2020,2019
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,2,8,28
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,2
Anthrax,0,0,0,0,0,0,0
Chickenpox,2,1,1,1,25,153,464
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,0,0,0,0,3,9,20
Food Poisoning,76,80,96,82,1223,639,698
Gastroenteritis (< 2years),0,0,0,0,1,10,14
Hepatitis A,0,1,0,0,6,3,1
Hepatitis B,0,2,0,3,32,30,28
Hepatitis C ,0,0,0,3,82,N/a,N/a
Hepatitis Unspecified,2,1,1,0,31,8,2
Legionnaires' Disease,0,0,0,0,1,0,0
Leptospirosis,0,0,0,0,1,1,0
Malaria,0,0,0,0,0,3,0
Measles,0,0,0,0,0,4,0
Meningococcal Septicaemia,0,0,0,0,0,0,5
Mumps,2,0,0,0,12,385,324
Paratyphoid Fever,0,0,0,0,0,1,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,0
Scarlet Fever,0,1,0,1,6,139,150
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,1,0
Tuberculosis (Pulmonary),0,2,0,2,11,7,18
Tuberculosis (Non Pulmonary),0,1,0,0,8,15,12
Typhoid,0,0,0,0,0,0,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,1,0,0,0,1,42,54
Yellow Fever,0,0,0,0,0,0,0
Total,83,89,98,92,1445,1084,930
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
