Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 24 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 24 ,Week 23 ,Week 22,Week 21 ,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,12/06 - 18/06,05/06 - 11/06,29/05 - 04/06,22/05 - 28/05,1-24,1-24,1-24
Acute Encephalitis/Meningitis Bacterial,0,0,1,0,19,5,3
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,14,19,11,13,314,97,24
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,0
Dysentery,1,1,0,0,14,18,2
Food Poisoning,90,76,75,103,1229,835,1138
Gastroenteritis (< 2years),0,0,0,0,5,1,1
Hepatitis A,0,0,0,0,4,0,1
Hepatitis B,0,2,2,0,68,52,42
Hepatitis C ,2,7,7,10,127,90,102
Hepatitis Unspecified,0,1,0,1,8,0,7
Legionnaires' Disease,0,0,2,1,4,3,2
Leptospirosis,0,0,0,0,0,0,1
Malaria,0,0,0,0,0,1,0
Measles,0,0,0,0,0,5,0
Meningococcal Septicaemia,0,0,0,0,1,0,0
Mumps,0,2,0,4,35,10,7
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,0,2
Scarlet Fever,12,17,9,17,1540,50,6
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),2,2,1,0,20,12,11
Tuberculosis (Non Pulmonary),0,0,0,1,10,8,4
Typhoid,0,0,0,0,1,0,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,1,0,0,0,0
Whooping Cough,0,0,0,0,1,4,1
Yellow Fever,0,0,0,0,0,0,0
Total,121,127,109,150,3402,1192,1357
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
