Disease,Week 31,Week 30,2021,2020,2019
Acute Encephalitis/Meningitis Bacterial,0,0,3,8,38
Acute Encephalitis/Meningitis Viral,0,0,0,0,2
Anthrax,0,0,0,0,0
Chickenpox,5,0,50,168,590
Cholera,0,0,0,0,0
Diphtheria,0,0,0,0,0
Dysentery,0,0,5,10,28
Food Poisoning,44,61,1719,1087,1171
Gastroenteritis (< 2years),0,0,2,11,17
Hepatitis A,0,0,7,3,2
Hepatitis B,2,1,53,42,39
Hepatitis C ,4,3,110,n/a,2
Hepatitis Unspecified,0,0,32,19,2
Legionnaires' Disease,0,0,2,0,0
Leptospirosis,0,0,1,1,1
Malaria,0,0,0,3,1
Measles,0,1,1,4,7
Meningococcal Septicaemia,0,0,0,0,441
Mumps,5,0,19,389,0
Paratyphoid Fever,0,0,0,1,0
Plague,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0
Rabies,0,0,0,0,0
Relapsing Fever,0,0,0,0,0
Rubella,1,0,1,1,178
Scarlet Fever,0,0,15,142,0
Smallpox,0,0,0,0,0
Tetanus,0,0,0,1,26
Tuberculosis (Pulmonary),0,0,14,12,17
Tuberculosis (Non Pulmonary),0,1,11,21,1
Typhoid,0,0,0,0,0
Typhus,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,105
Whooping Cough,0,0,1,43,0
Yellow Fever,0,0,0,0,0
Total,61,67,2046,1871,2485
,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,
,,,,,
*Data Provisional,,,,,
