Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 33 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 33 ,Week 32,Week 31 ,Week 30,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,14/08 - 20/08,07/08 - 13/08,31/07 - 06/08,24/07 - 30/07,1-33,1-33,1-33
Acute Encephalitis/Meningitis Bacterial,0,1,0,0,25,9,4
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,2,9,0,3,362,160,45
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,1
Dysentery,2,3,3,4,27,30,5
Food Poisoning,63,63,101,73,1800,1380,1595
Gastroenteritis (< 2years),0,0,0,0,6,5,3
Hepatitis A,0,0,0,0,4,0,2
Hepatitis B,0,0,3,2,95,80,58
Hepatitis C ,2,1,6,4,178,121,155
Hepatitis Unspecified,1,1,0,0,11,0,8
Legionnaires' Disease,0,1,0,2,7,4,2
Leptospirosis,0,0,0,0,0,0,1
Malaria,0,1,0,1,2,1,0
Measles,0,0,0,0,0,7,1
Meningococcal Septicaemia,0,0,0,1,2,0,0
Mumps,1,0,1,0,37,17,15
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,3,4,2,5,1565,74,14
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),1,2,2,5,32,20,14
Tuberculosis (Non Pulmonary),1,0,1,1,15,10,7
Typhoid,0,0,0,0,1,2,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,1,0,0,0,3,6,1
Yellow Fever,0,0,0,0,0,0,0
Total,77,86,119,101,4174,1928,1937
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
