,,,,,Cumulative Totals,,
Disease,Week 43,Week 42,Week 41,Week 40,2020,2019,2018
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,8,40,33
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,2,1
Anthrax,0,0,0,0,0,0,0
Chickenpox,0,2,0,0,174,618,863
Cholera,0,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0,0
Dysentery,1,0,0,0,11,30,24
Food Poisoning,28,25,47,43,1601,1363,1377
Gastroenteritis (< 2years),0,0,0,0,11,17,26
Hepatitis A,0,0,0,0,4,2,6
Hepatitis B,1,0,2,2,56,48,41
Hepatitis Unspecified,3,1,0,3,42,2,13
Legionnaires' Disease,0,0,0,0,0,2,5
Leptospirosis,0,0,0,0,1,0,0
Malaria,0,0,0,0,3,2,0
Measles,0,0,1,0,7,2,9
Meningococcal Septicaemia,0,0,0,0,0,8,8
Mumps,0,0,0,0,399,462,94
Paratyphoid Fever,0,0,0,0,1,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,1,1,0
Scarlet Fever,1,0,0,1,147,182,423
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0,0
Tuberculosis (Pulmonary),1,0,1,0,17,29,35
Tuberculosis (Non Pulmonary),0,1,0,0,25,18,13
Typhoid,0,0,0,0,0,1,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,47,138,33
Yellow Fever,0,0,0,0,0,0,0
Total,35,29,51,49,2556,2967,3005
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
