Disease,Week 46,Week 45,Week 44,2020,2019,2018
Acute Encephalitis/Meningitis Bacterial,1,0,0,8,49,40
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,1
Anthrax,0,0,0,0,0,0
Chickenpox,8,0,0,182,668,956
Cholera,0,0,0,0,1,0
Diphtheria,0,0,0,0,0,0
Dysentery,0,1,0,11,35,31
Food Poisoning,36,43,29,1710,1949,1811
Gastroenteritis (< 2years),0,0,0,11,22,35
Hepatitis A,0,0,0,4,3,6
Hepatitis B,0,0,0,56,77,48
Hepatitis Unspecified,1,0,0,43,4,17
Legionnaires' Disease,0,0,0,0,5,6
Leptospirosis,0,0,0,1,1,2
Malaria,0,0,0,3,2,2
Measles,0,2,0,9,10,11
Meningococcal Septicaemia,0,0,0,0,11,8
Mumps,5,0,1,405,539,126
Paratyphoid Fever,0,0,0,1,0,0
Plague,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0
Rabies,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0
Rubella,0,0,0,1,1,0
Scarlet Fever,1,0,2,150,220,461
Smallpox,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
Tuberculosis (Pulmonary),1,0,0,18,42,42
Tuberculosis (Non Pulmonary),0,0,0,25,22,16
Typhoid,0,0,0,0,3,1
Typhus,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0
Whooping Cough,0,0,0,47,193,42
Yellow Fever,0,0,0,0,0,0
Total,53,46,32,2686,3860,3662
,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,
,,,,,,
*Data Provisional,,,,,,
